file_id,label,class_name,original_filename,n_traces,n_samples,dt_ms
file_00001,1,event,Frisco_2P_June_2024_Divine_Trigger_52909.sgy,366,2000,0.5
file_00002,1,event,Frisco_2P_June_2024_Divine_Trigger_52910.sgy,366,2000,0.5
file_00003,1,event,Frisco_2P_June_2024_Divine_Trigger_52911.sgy,366,2000,0.5
file_00004,1,event,Frisco_2P_June_2024_Divine_Trigger_52913.sgy,366,2000,0.5
file_00005,1,event,Frisco_2P_June_2024_Divine_Trigger_52920.sgy,366,2000,0.5
file_00006,1,event,Frisco_2P_June_2024_Divine_Trigger_52922.sgy,366,2000,0.5
file_00007,1,event,Frisco_2P_June_2024_Divine_Trigger_52925.sgy,366,2000,0.5
file_00008,1,event,Frisco_2P_June_2024_Divine_Trigger_52926.sgy,366,2000,0.5
file_00009,1,event,Frisco_2P_June_2024_Divine_Trigger_52930.sgy,366,2000,0.5
file_00010,1,event,Frisco_2P_June_2024_Divine_Trigger_52931.sgy,366,2000,0.5
file_00011,1,event,Frisco_2P_June_2024_Divine_Trigger_52932.sgy,366,2000,0.5
file_00012,1,event,Frisco_2P_June_2024_Divine_Trigger_52936.sgy,366,2000,0.5
file_00013,1,event,Frisco_2P_June_2024_Divine_Trigger_52938.sgy,366,2000,0.5
file_00014,1,event,Frisco_2P_June_2024_Divine_Trigger_52939.sgy,366,2000,0.5
file_00015,1,event,Frisco_2P_June_2024_Divine_Trigger_52940.sgy,366,2000,0.5
file_00016,1,event,Frisco_2P_June_2024_Divine_Trigger_52941.sgy,366,2000,0.5
file_00017,1,event,Frisco_2P_June_2024_Divine_Trigger_52945.sgy,366,2000,0.5
file_00018,1,event,Frisco_2P_June_2024_Divine_Trigger_53035.sgy,366,2000,0.5
file_00019,1,event,Frisco_2P_June_2024_Divine_Trigger_53036.sgy,366,2000,0.5
file_00020,1,event,Frisco_2P_June_2024_Divine_Trigger_53038.sgy,366,2000,0.5
file_00021,1,event,Frisco_2P_June_2024_Divine_Trigger_53039.sgy,366,2000,0.5
file_00022,1,event,Frisco_2P_June_2024_Divine_Trigger_53040.sgy,366,2000,0.5
file_00023,1,event,Frisco_2P_June_2024_Divine_Trigger_53041.sgy,366,2000,0.5
file_00024,1,event,Frisco_2P_June_2024_Divine_Trigger_53046.sgy,366,2000,0.5
file_00025,1,event,Frisco_2P_June_2024_Divine_Trigger_53048.sgy,366,2000,0.5
file_00026,1,event,Frisco_2P_June_2024_Divine_Trigger_53051.sgy,366,2000,0.5
file_00027,1,event,Frisco_2P_June_2024_Divine_Trigger_53055.sgy,366,2000,0.5
file_00028,1,event,Frisco_2P_June_2024_Divine_Trigger_53058.sgy,366,2000,0.5
file_00029,1,event,Frisco_2P_June_2024_Divine_Trigger_53060.sgy,366,2000,0.5
file_00030,1,event,Frisco_2P_June_2024_Divine_Trigger_53062.sgy,366,2000,0.5
file_00031,1,event,Frisco_2P_June_2024_Divine_Trigger_53063.sgy,366,2000,0.5
file_00032,1,event,Frisco_2P_June_2024_Divine_Trigger_53064.sgy,366,2000,0.5
file_00033,1,event,Frisco_2P_June_2024_Divine_Trigger_53065.sgy,366,2000,0.5
file_00034,1,event,Frisco_2P_June_2024_Divine_Trigger_53068.sgy,366,2000,0.5
file_00035,1,event,Frisco_2P_June_2024_Divine_Trigger_53069.sgy,366,2000,0.5
file_00036,1,event,Frisco_2P_June_2024_Divine_Trigger_53070.sgy,366,2000,0.5
file_00037,1,event,Frisco_2P_June_2024_Divine_Trigger_53071.sgy,366,2000,0.5
file_00038,1,event,Frisco_2P_June_2024_Divine_Trigger_53072.sgy,366,2000,0.5
file_00039,1,event,Frisco_2P_June_2024_Divine_Trigger_53073.sgy,366,2000,0.5
file_00040,1,event,Frisco_2P_June_2024_Divine_Trigger_53074.sgy,366,2000,0.5
file_00041,1,event,Frisco_2P_June_2024_Divine_Trigger_53075.sgy,366,2000,0.5
file_00042,1,event,Frisco_2P_June_2024_Divine_Trigger_53079.sgy,366,2000,0.5
file_00043,1,event,Frisco_2P_June_2024_Divine_Trigger_53081.sgy,366,2000,0.5
file_00044,1,event,Frisco_2P_June_2024_Divine_Trigger_53088.sgy,366,2000,0.5
file_00045,1,event,Frisco_2P_June_2024_Divine_Trigger_53089.sgy,366,2000,0.5
file_00046,1,event,Frisco_2P_June_2024_Divine_Trigger_53090.sgy,366,2000,0.5
file_00047,1,event,Frisco_2P_June_2024_Divine_Trigger_53091.sgy,366,2000,0.5
file_00048,1,event,Frisco_2P_June_2024_Divine_Trigger_53092.sgy,366,2000,0.5
file_00049,1,event,Frisco_2P_June_2024_Divine_Trigger_53093.sgy,366,2000,0.5
file_00050,1,event,Frisco_2P_June_2024_Divine_Trigger_53098.sgy,366,2000,0.5
file_00051,1,event,Frisco_2P_June_2024_Divine_Trigger_53099.sgy,366,2000,0.5
