alpha,lags,min_votes,ws,thr_s,sparsity_event,sparsity_noise,sparsity_avg,sp_ratio,snr,precision,in_target
1.0,"[1, 4, 8]",1,4,0.2,0.4389600988291204,0.5413115620613098,0.49013583044521514,0.8109194955259483,1.2456069440184074,0.2012738305615494,False
1.0,"[1, 4, 8]",1,4,0.35,0.14838172112358733,0.20338208973407745,0.1758819054288324,0.729571228801891,1.5965774625850901,0.21909217384585644,False
1.0,"[1, 4, 8]",1,4,0.5,0.029180519126239233,0.04152325540781021,0.03535188726702472,0.7027512375812085,2.198229670251117,0.23958362651930656,False
1.0,"[1, 4, 8]",1,8,0.2,0.6310671278927475,0.726248562335968,0.6786578451143578,0.8689409667992033,1.1788125655081572,0.19690210195287364,False
1.0,"[1, 4, 8]",1,8,0.35,0.3521773121971637,0.46198493242263794,0.4070811223099008,0.7623134164795252,1.5024656922745812,0.21473573799114093,False
1.0,"[1, 4, 8]",1,8,0.5,0.100471314759925,0.13887761533260345,0.11967446504626422,0.7234521886000297,2.19810175515843,0.23922643123485612,False
1.0,"[1, 4, 8]",1,16,0.2,0.6956417460553348,0.7575057744979858,0.7265737602766603,0.9183319381510332,1.1282411746787897,0.19312200777756516,False
1.0,"[1, 4, 8]",1,16,0.35,0.5511178451217711,0.6831790208816528,0.617148433001712,0.806696090302283,1.3816663689726028,0.20805077937766328,False
1.0,"[1, 4, 8]",1,16,0.5,0.24213964433874935,0.33334845304489136,0.28774404869182035,0.7263859847765393,1.9939568847383322,0.23169560240057763,False
1.0,"[1, 4, 8]",2,4,0.2,0.19450999692082405,0.2318555861711502,0.21318279154598713,0.8389273691134681,1.331234032619277,0.2081563928409014,False
1.0,"[1, 4, 8]",2,4,0.35,0.07890701151452958,0.10529723763465881,0.0921021245745942,0.7493739939152703,1.7058235032564104,0.22514048055396416,False
1.0,"[1, 4, 8]",2,4,0.5,0.01789059428323526,0.0247762780636549,0.021333436173445082,0.7220856271176395,2.333416095530996,0.24604354330251227,False
1.0,"[1, 4, 8]",2,8,0.2,0.25344715111888944,0.2817692160606384,0.2676081835897639,0.8994848857596498,1.2622783945736495,0.20461780504207128,False
1.0,"[1, 4, 8]",2,8,0.35,0.1590970456553623,0.2011224627494812,0.18010975420242176,0.791045632001504,1.623225464705323,0.2220735148472886,False
1.0,"[1, 4, 8]",2,8,0.5,0.052669460496399555,0.06953230500221252,0.06110088274930604,0.7574818711205332,2.3858744316326725,0.24714220081907115,False
1.0,"[1, 4, 8]",2,16,0.2,0.27308293314650656,0.2893736660480499,0.28122829959727824,0.9437034712798008,1.2105541361192809,0.20126753640884998,False
1.0,"[1, 4, 8]",2,16,0.35,0.22354461383074523,0.2680486738681793,0.24579664384946226,0.8339702286334748,1.5050964022175206,0.2160091434338028,False
1.0,"[1, 4, 8]",2,16,0.5,0.1083563219779171,0.14317525923252106,0.12576579060521909,0.7568089805372245,2.205859874957861,0.23994240635744063,False
1.0,"[1, 4, 8]",3,4,0.2,0.009582821015501395,0.009382721967995167,0.009482771491748282,1.021326332399998,1.8126280546664169,0.24080247749734554,True
1.0,"[1, 4, 8]",3,4,0.35,0.00480951844365336,0.005322885699570179,0.005066202071611769,0.903554709814965,2.24120114574074,0.254553684670027,True
1.0,"[1, 4, 8]",3,4,0.5,0.0014827663921460044,0.0016216154908761382,0.0015521909415110713,0.9143760654043115,2.8584728486722684,0.2724164844493498,False
1.0,"[1, 4, 8]",3,8,0.2,0.012036072411574424,0.010596332140266895,0.011316202275920659,1.1358715687890155,1.725592103433429,0.2383933366447309,True
1.0,"[1, 4, 8]",3,8,0.35,0.00846591531066224,0.008472899906337261,0.00846940760849975,0.9991756546457256,2.2945415536578637,0.254906275736721,True
1.0,"[1, 4, 8]",3,8,0.5,0.0039080771803855895,0.003779207356274128,0.0038436422683298587,1.0340996965666664,3.289998797690919,0.2775936339212058,True
1.0,"[1, 4, 8]",3,16,0.2,0.013086540300864726,0.01089585293084383,0.011991196615854278,1.2010569878214425,1.6278375995453134,0.23376465270426705,True
1.0,"[1, 4, 8]",3,16,0.35,0.010731639347504825,0.010194518603384495,0.01046307897544466,1.052687210158409,2.1126728186917667,0.24875714897600118,True
1.0,"[1, 4, 8]",3,16,0.5,0.00645456284401007,0.006391116883605719,0.006422839863807895,1.0099272101511867,3.122646076080686,0.2709482332697371,True
1.0,"[1, 3, 8]",1,4,0.2,0.42654073069803417,0.5256468057632446,0.4760937682306394,0.8114588085029691,1.2485245556463211,0.20150712993257913,False
1.0,"[1, 3, 8]",1,4,0.35,0.1450242179702036,0.19860202074050903,0.17181311935535631,0.7302252888941672,1.599630916467362,0.21919982055827858,False
1.0,"[1, 3, 8]",1,4,0.5,0.028723866188083775,0.04081776738166809,0.03477081678487593,0.7037098800505224,2.196472457394774,0.23929678929867804,False
1.0,"[1, 3, 8]",1,8,0.2,0.6121615279000252,0.7041404843330383,0.6581510061165318,0.8693741398491871,1.1817604849057337,0.1971757846136461,False
1.0,"[1, 3, 8]",1,8,0.35,0.3426935420604423,0.4491395056247711,0.39591652384260667,0.7630002210198406,1.506532899379996,0.21494346914972995,False
1.0,"[1, 3, 8]",1,8,0.5,0.09827892083441839,0.1356390416622162,0.11695898124831729,0.7245621882168982,2.2004879663960084,0.23923194288800004,False
1.0,"[1, 3, 8]",1,16,0.2,0.6745301191322506,0.7342893481254578,0.7044097336288542,0.9186162387541581,1.1309953209448584,0.19340835521346889,False
1.0,"[1, 3, 8]",1,16,0.35,0.5349092717468739,0.6626632213592529,0.5987862465530633,0.8072113473412172,1.3858568129682904,0.20830649421855923,False
1.0,"[1, 3, 8]",1,16,0.5,0.23569841193500907,0.3241177499294281,0.2799080809322186,0.7271999512101048,1.9985315083208668,0.23184089314599987,False
1.0,"[1, 3, 8]",2,4,0.2,0.15443202162627132,0.1817217618227005,0.16807689172448592,0.8498267905686782,1.372200655131814,0.21150538272049743,False
1.0,"[1, 3, 8]",2,4,0.35,0.06458839144208468,0.08486444503068924,0.07472641823638695,0.7610771674607405,1.754804007779054,0.22816132272258982,False
1.0,"[1, 3, 8]",2,4,0.5,0.015339088108739816,0.02080870233476162,0.018073895221750718,0.7371477501081539,2.392678883186309,0.2488544938225823,False
1.0,"[1, 3, 8]",2,8,0.2,0.2007800108846277,0.22042419016361237,0.21060210052412004,0.9108801113688859,1.3005345996973967,0.20807324530353072,False
1.0,"[1, 3, 8]",2,8,0.35,0.12772964119445532,0.15899842977523804,0.14336403548484666,0.8033390101714549,1.672095701813328,0.2252325659345661,False
1.0,"[1, 3, 8]",2,8,0.5,0.0440608709002845,0.05693195387721062,0.05049641238874756,0.7739216362627193,2.4448454864215527,0.24995401161111658,False
1.0,"[1, 3, 8]",2,16,0.2,0.21661695334129036,0.22662857174873352,0.22162276254501195,0.9558236707305238,1.2467001092033998,0.20474862809380284,False
1.0,"[1, 3, 8]",2,16,0.35,0.1776983571704477,0.21016809344291687,0.19393322530668228,0.8455058722731946,1.5543383799052315,0.21933817901932343,False
1.0,"[1, 3, 8]",2,16,0.5,0.08823579583549872,0.11445409804582596,0.10134494694066234,0.7709273616412602,2.2742044286727032,0.24293879148375708,False
1.0,"[1, 3, 8]",3,4,0.2,0.009661823773058131,0.00943801924586296,0.009549921509460546,1.0237130823073148,1.8184634564444269,0.24112136083364022,True
1.0,"[1, 3, 8]",3,4,0.35,0.00483213797560893,0.005339313764125109,0.00508572586986702,0.9050110536818613,2.248757173363505,0.25480333164574404,True
1.0,"[1, 3, 8]",3,4,0.5,0.0014879918085352983,0.0016246447339653969,0.0015563182712503476,0.915887502927142,2.8683517103985356,0.2725874452767312,False
1.0,"[1, 3, 8]",3,8,0.2,0.012177438524086029,0.010689590126276016,0.011433514325181023,1.1391866648051119,1.7300129511973898,0.2387030130688072,True
1.0,"[1, 3, 8]",3,8,0.35,0.008528893421171233,0.008519221097230911,0.008524057259201072,1.0011353530833311,2.300834501049547,0.2551651013935407,True
1.0,"[1, 3, 8]",3,8,0.5,0.0039278039644705135,0.0037916291039437056,0.0038597165342071096,1.0359146047236454,3.294381291852298,0.2777891848327272,True
1.0,"[1, 3, 8]",3,16,0.2,0.01327641733456403,0.011016597971320152,0.01214650765294209,1.2051286040506275,1.6314111222611904,0.23397552207381522,True
1.0,"[1, 3, 8]",3,16,0.35,0.01085098703741096,0.010279972106218338,0.010565479571814649,1.0555463502519833,2.1198097034686127,0.24903698637042906,True
1.0,"[1, 3, 8]",3,16,0.5,0.006508152326568961,0.006426953244954348,0.006467552785761654,1.0126341484868215,3.1318466387825183,0.2711575416958658,True
1.0,"[1, 4, 12]",1,4,0.2,0.4229127323953435,0.5212882161140442,0.4721004742546938,0.8112838911801169,1.251624490227474,0.2018283936829539,False
1.0,"[1, 4, 12]",1,4,0.35,0.14377066265093164,0.19687420129776,0.17032243197434582,0.73026664592527,1.6039493206473714,0.21957736895448762,False
1.0,"[1, 4, 12]",1,4,0.5,0.028486468592309393,0.04048801586031914,0.03448724222631427,0.7035777868341523,2.205145658804596,0.2399366149760317,False
1.0,"[1, 4, 12]",1,8,0.2,0.6078734411392361,0.6995651721954346,0.6537193066673354,0.8689303946214993,1.1846527071624777,0.19748032971285284,False
1.0,"[1, 4, 12]",1,8,0.35,0.3401191698992625,0.4458165764808655,0.392967873190064,0.7629127938311654,1.5109392388158787,0.2152826575114159,False
1.0,"[1, 4, 12]",1,8,0.5,0.09760558407288045,0.13468331098556519,0.11614444752922282,0.7247043702641185,2.20908766062038,0.23977005085005657,False
1.0,"[1, 4, 12]",1,16,0.2,0.6701152158901096,0.729886531829834,0.7000008738599718,0.9181087561790228,1.1337041880214738,0.19370182295737323,False
1.0,"[1, 4, 12]",1,16,0.35,0.5313118578027933,0.6584199666976929,0.5948659122502431,0.8069497959905277,1.3901579790400922,0.20861670654092448,False
1.0,"[1, 4, 12]",1,16,0.5,0.2341784292832017,0.32203662395477295,0.2781075266189873,0.7271794940816728,2.0090015680047,0.23224320381268626,False
1.0,"[1, 4, 12]",2,4,0.2,0.18338103846181183,0.21815288066864014,0.200766959565226,0.8406079163371469,1.3447903166744875,0.2091237583081238,False
1.0,"[1, 4, 12]",2,4,0.35,0.07286446039332077,0.09666868299245834,0.08476657169288956,0.7537545577092979,1.7260262709941343,0.2262055341847008,False
1.0,"[1, 4, 12]",2,4,0.5,0.01657617827062495,0.02273149974644184,0.019653839008533396,0.7292162178265258,2.3511987708602358,0.24691377012451995,False
1.0,"[1, 4, 12]",2,8,0.2,0.24344875033944846,0.27051594853401184,0.25698234943673015,0.8999423200693092,1.2723765881268085,0.2053927252435824,False
1.0,"[1, 4, 12]",2,8,0.35,0.14982525942381472,0.18912814557552338,0.16947670249966906,0.7921891211267966,1.6413479445460064,0.22285291464861076,False
1.0,"[1, 4, 12]",2,8,0.5,0.04919051913311705,0.06473631411790848,0.05696341662551276,0.7598597449265205,2.4135302367871803,0.2475745195201307,False
1.0,"[1, 4, 12]",2,16,0.2,0.26370674138888717,0.2789154052734375,0.27131107333116233,0.9454721266842885,1.2191017921958618,0.20195270278607494,False
