encoder,ratio_thr,sta_ms,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target
SFBE,2.0,1.0,0.20511330937966704,0.16678565740585327,0.18594948339276016,0.9741793487185646,0.1760137776657939,False
SFBE,2.0,2.0,0.20455405054613948,0.16618549823760986,0.1853697743918747,0.9738913909177738,0.17596940450370313,False
SFBE,2.0,4.0,0.20346204897388817,0.1649375855922699,0.18419981728307905,0.9726962040330221,0.17578787468373774,False
SFBE,2.0,8.0,0.19999046102166176,0.16081489622592926,0.1804026786237955,0.9693062665811687,0.17527059007436038,False
SFBE,3.0,1.0,0.11081938515417278,0.07464862614870071,0.09273400565143675,0.9285461678277278,0.16896101655438542,False
SFBE,3.0,2.0,0.11043728818185627,0.07425454258918762,0.09234591538552195,0.9282392498445113,0.1689107609540224,False
SFBE,3.0,4.0,0.1095891119260341,0.07330885529518127,0.09144898361060769,0.9264085176426992,0.1686243872344494,False
SFBE,3.0,8.0,0.10681065570563078,0.07017026841640472,0.08849046206101775,0.921398017800343,0.16783523622900248,False
SFBE,4.0,1.0,0.06927213799674065,0.036664046347141266,0.052968092171940956,0.8831860236344756,0.161781048681587,False
SFBE,4.0,2.0,0.06903757171705366,0.036421775817871094,0.052729673767462376,0.8831160592251129,0.1617630497738719,False
SFBE,4.0,4.0,0.06848857916891575,0.03582105040550232,0.052154814787209035,0.8813821667331032,0.16148180648684501,False
SFBE,4.0,8.0,0.06673671104479581,0.03387444093823433,0.05030557599151507,0.8770512422994201,0.16076540369540454,False
SFBE,5.0,1.0,0.049388931137509647,0.0200771763920784,0.03473305376479402,0.8517637039581416,0.15666168808937073,False
SFBE,5.0,2.0,0.049241700917482374,0.019934091717004776,0.03458789631724357,0.8522885645352198,0.1567337065562606,False
SFBE,5.0,4.0,0.04890552292112261,0.019567780196666718,0.03423665155889466,0.8516516910292882,0.15661597546190023,False
SFBE,5.0,8.0,0.0478497472894378,0.01841304451227188,0.03313139590085484,0.8505690674679375,0.1563857584632933,False
SFBE,6.0,1.0,0.038841297660255805,0.012266838923096657,0.02555406829167623,0.8360314324506308,0.15396209500730038,False
SFBE,6.0,2.0,0.038754060768987984,0.012184033170342445,0.025469046969665215,0.8368692597321211,0.15408368360251187,False
SFBE,6.0,4.0,0.03854296117438935,0.011953480541706085,0.025248220858047718,0.8372551403425524,0.15411700142547488,False
SFBE,6.0,8.0,0.03789641050621867,0.011252619326114655,0.024574514916166662,0.8395847909402676,0.15440384089946746,False
SFBE,7.0,1.0,0.032624334022402765,0.008264074102044106,0.020444204062223435,0.8283201819159259,0.15248923605307937,False
SFBE,7.0,2.0,0.0325721994030755,0.00821661576628685,0.020394407584681175,0.829791772603495,0.1527105938270688,False
SFBE,7.0,4.0,0.0324365062371362,0.008067849092185497,0.02025217766466085,0.8309821527901518,0.15286489997059108,False
SFBE,7.0,8.0,0.032035665966104715,0.00762499263510108,0.019830329300602897,0.8357902807414939,0.15353598879650235,False
SFBE,8.0,1.0,0.028630474763340318,0.006041232962161303,0.01733585386275081,0.8264667113854898,0.15193403498269617,False
SFBE,8.0,2.0,0.028598705569747834,0.006014368496835232,0.017306537033291533,0.8277531173578231,0.15212547187693418,False
SFBE,8.0,4.0,0.02851179296965711,0.0059163691475987434,0.017214081058627928,0.8294812017434223,0.15236763074062765,False
SFBE,8.0,8.0,0.02826386939792428,0.005628883372992277,0.01694637638545828,0.8353099519913387,0.15318706814199687,False
SFBE,10.0,1.0,0.023861342325399163,0.003887349972501397,0.01387434614895028,0.8233896436393602,0.15088146816939116,True
SFBE,10.0,2.0,0.02385108955699252,0.0038769913371652365,0.013864040447078878,0.8238055123966079,0.15093162039294838,True
SFBE,10.0,4.0,0.02381880477827508,0.0038325064815580845,0.013825655629916582,0.8261870652345321,0.15126930253580212,True
SFBE,10.0,8.0,0.02373368849090184,0.003704268950968981,0.01371897872093541,0.8324736146017585,0.15215688514523207,True
SFBE,12.0,1.0,0.021079685932636493,0.0029333673883229494,0.012006526660479721,0.8231402473306199,0.15030945982784033,True
SFBE,12.0,2.0,0.02107501366888755,0.0029295526910573244,0.012002283179972437,0.8240722755111769,0.1504472290398553,True
SFBE,12.0,4.0,0.021067991798190633,0.002909624483436346,0.01198880814081349,0.8265504456117588,0.15080811348278075,True
SFBE,12.0,8.0,0.021058927644917277,0.002853306010365486,0.011956116827641382,0.8314946256046863,0.15148268902790732,True
SFBE,15.0,1.0,0.018473627052735538,0.002247264375910163,0.01036044571432285,0.8234065195524594,0.14970040180021896,True
SFBE,15.0,2.0,0.01847171461879043,0.0022457547020167112,0.01035873466040357,0.8241957420583245,0.14982149061746897,True
SFBE,15.0,4.0,0.018482739115061122,0.0022395015694200993,0.01036112034224061,0.8267101010449588,0.1502069885097444,True
SFBE,15.0,8.0,0.0185265437013004,0.002228026045486331,0.010377284873393365,0.8300983199087072,0.1506806676572887,True
SFBE,20.0,1.0,0.015875829940268885,0.0017071925103664398,0.008791511225317662,0.8217227112985194,0.14881003739254084,True
SFBE,20.0,2.0,0.01587768767371017,0.0017065982101485133,0.008792142941929341,0.8222482366517008,0.14888179699715692,True
SFBE,20.0,4.0,0.015893186434223026,0.0017062807455658913,0.008799733589894458,0.8252638996860445,0.14936681947787292,True
SFBE,20.0,8.0,0.015951567623924346,0.0017073019407689571,0.008829434782346652,0.8272178086992886,0.14961460435763002,True
SFBE,30.0,1.0,0.013018770472008327,0.001201349077746272,0.0071100597748773,0.8109222670056607,0.1459530866809655,True
SFBE,30.0,2.0,0.013022602429409745,0.001201219274662435,0.00711191085203609,0.8117936272009172,0.146084134579869,True
SFBE,30.0,4.0,0.013038217201064982,0.0012019501300528646,0.007120083665558923,0.8130344954999021,0.14629558192013065,True
SFBE,30.0,8.0,0.013098691883642459,0.00120343582239002,0.007151063853016239,0.8148891431964732,0.14654478300071788,True
