encoder,thr,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target,step_size,kappa_phi,amp_kappa,alpha,tau_ms,lags,thr_t,thr_s,wt_ms,ws,K,encode_window_ms
Rate,0.4,0.44166325144469737,0.429818332195282,0.4357407918199897,0.9902824320947208,0.17855987150222064,False,,,,,,,,,,,,
Rate,0.45,0.3883552809804678,0.37610119581222534,0.38222823839634656,0.9894677070842901,0.1784352057054639,False,,,,,,,,,,,,
Rate,0.5,0.2956694197654724,0.3028266131877899,0.29924801647663113,1.0040828234986763,0.18059555049985648,False,,,,,,,,,,,,
Rate,0.55,0.19405941913370042,0.22205303609371185,0.20805622761370612,1.093167467913036,0.1905250327847898,False,,,,,,,,,,,,
Rate,0.6,0.12240783436689526,0.14960575103759766,0.13600679270224647,1.229743315604488,0.20050312499108258,False,,,,,,,,,,,,
Rate,0.65,0.07189275282202288,0.09181284159421921,0.08185279720812105,1.4157352157577185,0.2104800206492655,False,,,,,,,,,,,,
Rate,0.7,0.039120474677183666,0.0513109527528286,0.04521571371500613,1.6467756620801624,0.2205772444049944,False,,,,,,,,,,,,
Rate,0.75,0.019726653001853264,0.02613963559269905,0.022933144297276158,1.9755580176536933,0.23141823480837048,False,,,,,,,,,,,,
Rate,0.8,0.009274412588856648,0.012137550860643387,0.010705981724750017,2.437912660684829,0.2421764974033431,True,,,,,,,,,,,,
Rate,0.85,0.0040861782772117295,0.005141154397279024,0.004613666337245376,3.0891443610875564,0.2534018420666689,True,,,,,,,,,,,,
Rate,0.9,0.0016985280041990336,0.0019720697309821844,0.0018352988675906091,4.025996853340441,0.26245848929160276,False,,,,,,,,,,,,
Rate,0.95,0.0005926673507929081,0.0006143818609416485,0.0006035246058672783,5.5388698468679864,0.2647436026384821,False,,,,,,,,,,,,
Phase,0.4,0.43349025256931784,0.4185551106929779,0.42602268163114787,0.9919957927967848,0.1788108056411147,False,,,,,,,,,,,,
Phase,0.45,0.38163333281874656,0.3650411367416382,0.3733372347801924,0.9901614150816765,0.1785342888906598,False,,,,,,,,,,,,
Phase,0.5,0.2943978044390678,0.29429492354393005,0.29434636399149894,1.0004670503620887,0.18006874136626722,False,,,,,,,,,,,,
Phase,0.55,0.1933240198902786,0.2163875550031662,0.2048557874467224,1.0743278777993082,0.18873829500051215,False,,,,,,,,,,,,
Phase,0.6,0.12240406069206074,0.14709749817848206,0.1347507794352714,1.1874484686134739,0.19772131295874715,False,,,,,,,,,,,,
