f1,recall,fnr,fpr,auprc,accuracy,balanced_acc,precision,specificity,auc,mcc,cm,loss,variant,fold,seed,mode,best_epoch,betas
0.495575221,0.329411765,0.670588235,0,0.670588235,0.664705882,0.664705882,1,1,0.670588235,0.444053036,"[[170, 0], [114, 56]]",38.0086422,Basic,0,42,ablation,59,"{'b1': 0.9002863764762878, 'b2': 0.9891260862350464, 'b3': 1.0238068103790283}"
0.488888889,0.323529412,0.676470588,0,0.670588235,0.661764706,0.661764706,1,1,0.670588235,0.439297685,"[[170, 0], [115, 55]]",38.1348877,Basic,0,123,ablation,41,"{'b1': 0.9026839733123779, 'b2': 0.9843421578407288, 'b3': 1.0230636596679688}"
0.515283843,0.347058824,0.652941176,0,0.672575048,0.673529412,0.673529412,1,1,0.670588235,0.458218739,"[[170, 0], [111, 59]]",40.62965775,Basic,0,456,ablation,8,"{'b1': 0.9170761108398438, 'b2': 0.9845450520515442, 'b3': 1.018812656402588}"
0.495575221,0.329411765,0.670588235,0,0.670588235,0.664705882,0.664705882,1,1,0.670588235,0.444053036,"[[170, 0], [114, 56]]",37.41482735,Basic,1,42,ablation,62,"{'b1': 0.9012658596038818, 'b2': 0.992127537727356, 'b3': 1.024757981300354}"
0.440366972,0.282352941,0.717647059,0,0.641176471,0.641176471,0.641176471,1,1,0.641176471,0.405442427,"[[170, 0], [122, 48]]",135.7337799,Basic,1,123,ablation,4,"{'b1': 0.8968818783760071, 'b2': 0.9445298314094543, 'b3': 0.990272581577301}"
0.488888889,0.323529412,0.676470588,0,0.670588235,0.661764706,0.661764706,1,1,0.670588235,0.439297685,"[[170, 0], [115, 55]]",37.66744423,Basic,1,456,ablation,44,"{'b1': 0.9057275056838989, 'b2': 0.998299777507782, 'b3': 1.02223539352417}"
0.559322034,0.388235294,0.611764706,0,0.694117647,0.694117647,0.694117647,1,1,0.694117647,0.490791109,"[[170, 0], [104, 66]]",36.74580956,Basic,2,42,ablation,54,"{'b1': 0.895369827747345, 'b2': 1.001780390739441, 'b3': 1.023878812789917}"
0.559322034,0.388235294,0.611764706,0,0.697058824,0.694117647,0.694117647,1,1,0.697058824,0.490791109,"[[170, 0], [104, 66]]",36.33516121,Basic,2,123,ablation,51,"{'b1': 0.899320662021637, 'b2': 0.9892791509628296, 'b3': 1.0221418142318726}"
0.52173913,0.352941176,0.647058824,0,0.7,0.676470588,0.676470588,1,1,0.7,0.46291005,"[[170, 0], [110, 60]]",40.93211174,Basic,2,456,ablation,8,"{'b1': 0.9173538088798523, 'b2': 0.9838924407958984, 'b3': 1.0178943872451782}"
0.388625592,0.241176471,0.758823529,0,0.636129481,0.620588235,0.620588235,1,1,0.632352941,0.370302236,"[[170, 0], [129, 41]]",41.46344185,Basic,3,42,ablation,29,"{'b1': 0.8980238437652588, 'b2': 0.9857122302055359, 'b3': 1.0227547883987427}"
