encoder,category,beta1_mean,beta1_std,beta2_mean,beta2_std,beta3_mean,beta3_std,beta2_gt1_pct,beta3_gt1_pct,n_runs
Rate,Baseline,0.8767363945643107,0.014914588302187443,0.972022827466329,0.03761801938531753,1.0131551643212637,0.02621432799606689,26.666666666666668,80.0,30
Phase,Baseline,0.8784007092316946,0.01736165089514326,0.967435497045517,0.03666077220225947,1.0110067983468374,0.027603040070610898,10.0,76.66666666666667,30
TTFS,Baseline,0.8784007092316946,0.01736165089514326,0.967435497045517,0.03666077220225947,1.0110067983468374,0.027603040070610898,10.0,76.66666666666667,30
Delta-Mod,Proposed,0.8955842355887095,0.014133622940908554,0.9833643714586894,0.024948785604303695,1.01374049782753,0.015594213565146575,36.666666666666664,93.33333333333333,30
PDE,Proposed,0.8822731812795003,0.007179987070044553,1.0151403188705443,0.013923303681988582,1.0166892449061076,0.00648052361718556,83.33333333333334,100.0,30
ATDE,Proposed,0.8973732809225718,0.007905093419522818,0.9742131253083547,0.027789724815871386,1.0245698849360148,0.01388987810353436,20.0,93.33333333333333,30
MASTE,Proposed,0.875470515092214,0.012671216794512385,1.0019468307495116,0.0346369301968498,1.0212540845076243,0.009995487663599886,66.66666666666666,93.33333333333333,30
ST-MW,Proposed,0.9127233783404033,0.011871914457850333,0.9818809767564137,0.01708283818106024,1.0045077582200368,0.01658278534779413,23.333333333333332,80.0,30
AMSTE,Proposed,0.8531323691209157,0.016368309407172106,0.9981845398743947,0.0259588261897596,1.0168042063713074,0.012041783721195236,63.33333333333333,96.66666666666667,30
SFBE,Proposed,0.9764673272768657,0.02211400607427042,0.993744719028473,0.012763195935770268,0.9874405602614085,0.033585725052197535,40.0,50.0,30
