accuracy,precision,recall,f1,auc,fnr,cm,loss,encoder,fold,seed,mode,best_epoch,betas,fpr,auprc,balanced_acc,specificity,mcc
0.9,0.965753425,0.829411765,0.892405063,0.912283737,0.170588235,"[[165, 5], [29, 141]]",20.10382271,Rate,0,42,within,28,"{'b1': 0.8746246099472046, 'b2': 1.0051337480545044, 'b3': 1.0258220434188843}",,,,,
0.5,0.5,1,0.666666667,0.29899654,0,"[[0, 170], [0, 170]]",164.1706314,Rate,0,123,within,1,"{'b1': 0.8549125790596008, 'b2': 0.9051618576049805, 'b3': 0.9608257412910461}",,,,,
0.902941176,0.959731544,0.841176471,0.896551724,0.919653979,0.158823529,"[[164, 6], [27, 143]]",20.26314354,Rate,0,456,within,23,"{'b1': 0.8972539901733398, 'b2': 0.9948300123214722, 'b3': 1.031031608581543}",,,,,
0.85,0.916083916,0.770588235,0.837060703,0.881089965,0.229411765,"[[158, 12], [39, 131]]",20.71187305,Rate,1,42,within,31,"{'b1': 0.8834905624389648, 'b2': 1.0054739713668823, 'b3': 1.0286794900894165}",,,,,
0.5,0.5,1,0.666666667,0.30849481,0,"[[0, 170], [0, 170]]",164.1692276,Rate,1,123,within,1,"{'b1': 0.8548799753189087, 'b2': 0.9050418138504028, 'b3': 0.9608375430107117}",,,,,
0.861764706,0.924137931,0.788235294,0.850793651,0.878477509,0.211764706,"[[159, 11], [36, 134]]",21.61952782,Rate,1,456,within,32,"{'b1': 0.8935812711715698, 'b2': 1.0231257677078247, 'b3': 1.0290753841400146}",,,,,
0.847058824,0.86875,0.817647059,0.842424242,0.880882353,0.182352941,"[[149, 21], [31, 139]]",20.55188465,Rate,2,42,within,36,"{'b1': 0.8866487741470337, 'b2': 1.002406358718872, 'b3': 1.028069019317627}",,,,,
0.5,0.5,1,0.666666667,0.305899654,0,"[[0, 170], [0, 170]]",164.5561829,Rate,2,123,within,1,"{'b1': 0.8548961877822876, 'b2': 0.905105471611023, 'b3': 0.9607933759689331}",,,,,
0.873529412,0.884848485,0.858823529,0.871641791,0.895657439,0.141176471,"[[151, 19], [24, 146]]",20.34361744,Rate,2,456,within,40,"{'b1': 0.8900959491729736, 'b2': 1.0269792079925537, 'b3': 1.028425693511963}",,,,,
0.817647059,0.846153846,0.776470588,0.809815951,0.844965398,0.223529412,"[[146, 24], [38, 132]]",27.333004,Rate,3,42,within,25,"{'b1': 0.8879649639129639, 'b2': 1.0019408464431763, 'b3': 1.0269525051116943}",,,,,
