encoder_a,encoder_b,p_value,significant,bonferroni,mean_a,mean_b,winner,delta_f1
Delta-Mod,SFBE,1.862645149230957e-09,***,YES,0.8022188478701477,0.8818799109293913,SFBE,-0.07966106305924359
Delta-Mod,ATDE,1.862645149230957e-09,***,YES,0.8022188478701477,0.876701032748134,ATDE,-0.0744821848779863
Delta-Mod,MASTE,3.725290298461914e-09,***,YES,0.8022188478701477,0.866033910343971,MASTE,-0.06381506247382329
Delta-Mod,ST-MW,5.587935447692871e-09,***,YES,0.8022188478701477,0.8845674570729171,ST-MW,-0.08234860920276932
TTFS,SFBE,2.60770320892334e-08,***,YES,0.7656168452787973,0.8818799109293913,SFBE,-0.11626306565059408
Phase,SFBE,2.60770320892334e-08,***,YES,0.7656168452787973,0.8818799109293913,SFBE,-0.11626306565059408
TTFS,ST-MW,8.009374141693115e-08,***,YES,0.7656168452787973,0.8845674570729171,ST-MW,-0.11895061179411981
Phase,ST-MW,8.009374141693115e-08,***,YES,0.7656168452787973,0.8845674570729171,ST-MW,-0.11895061179411981
Delta-Mod,PDE,1.30385160446167e-07,***,YES,0.8022188478701477,0.8696773711893688,PDE,-0.06745852331922109
Delta-Mod,AMSTE,2.5630832507250074e-06,***,YES,0.8022188478701477,0.907916762575424,AMSTE,-0.10569791470527623
Rate,AMSTE,2.5630832507250074e-06,***,YES,0.7965363865744154,0.907916762575424,AMSTE,-0.11138037600100859
TTFS,AMSTE,2.5630832507250074e-06,***,YES,0.7656168452787973,0.907916762575424,AMSTE,-0.14229991729662672
Phase,AMSTE,2.5630832507250074e-06,***,YES,0.7656168452787973,0.907916762575424,AMSTE,-0.14229991729662672
AMSTE,SFBE,3.7904828786849976e-06,***,YES,0.907916762575424,0.8818799109293913,AMSTE,0.026036851646032644
Rate,SFBE,3.7904828786849976e-06,***,YES,0.7965363865744154,0.8818799109293913,SFBE,-0.08534352435497594
MASTE,AMSTE,4.421919584274292e-06,***,YES,0.866033910343971,0.907916762575424,AMSTE,-0.04188285223145294
PDE,AMSTE,5.973502993583679e-06,***,YES,0.8696773711893688,0.907916762575424,AMSTE,-0.038239391386055144
ATDE,AMSTE,6.917864084243774e-06,***,YES,0.876701032748134,0.907916762575424,AMSTE,-0.03121572982728993
Phase,ATDE,6.917864084243774e-06,***,YES,0.7656168452787973,0.876701032748134,ATDE,-0.11108418746933679
TTFS,ATDE,6.917864084243774e-06,***,YES,0.7656168452787973,0.876701032748134,ATDE,-0.11108418746933679
Phase,PDE,1.0609626770019531e-05,***,YES,0.7656168452787973,0.8696773711893688,PDE,-0.10406052591057158
TTFS,PDE,1.0609626770019531e-05,***,YES,0.7656168452787973,0.8696773711893688,PDE,-0.10406052591057158
MASTE,SFBE,1.3966113328933716e-05,***,YES,0.866033910343971,0.8818799109293913,SFBE,-0.015846000585420295
Rate,ST-MW,2.8631139622301823e-05,***,YES,0.7965363865744154,0.8845674570729171,ST-MW,-0.08803107049850167
ST-MW,AMSTE,0.00012333691120147705,***,YES,0.8845674570729171,0.907916762575424,AMSTE,-0.023349305502506912
Rate,ATDE,0.00016989745199680328,***,YES,0.7965363865744154,0.876701032748134,ATDE,-0.08016464617371866
Rate,PDE,0.00018860027194023132,***,YES,0.7965363865744154,0.8696773711893688,PDE,-0.07314098461495344
TTFS,MASTE,0.0003750904736318682,***,YES,0.7656168452787973,0.866033910343971,MASTE,-0.10041706506517378
Phase,MASTE,0.0003750904736318682,***,YES,0.7656168452787973,0.866033910343971,MASTE,-0.10041706506517378
PDE,SFBE,0.003475155681371689,**,—,0.8696773711893688,0.8818799109293913,SFBE,-0.0122025397400225
MASTE,ST-MW,0.0037444327026605606,**,—,0.866033910343971,0.8845674570729171,ST-MW,-0.018533546728946027
Rate,MASTE,0.004169115995474121,**,—,0.7965363865744154,0.866033910343971,MASTE,-0.06949752376955565
ATDE,MASTE,0.007100609066184297,**,—,0.876701032748134,0.866033910343971,ATDE,0.01066712240416301
PDE,ST-MW,0.01283373311161995,*,—,0.8696773711893688,0.8845674570729171,ST-MW,-0.014890085883548232
Rate,Phase,0.028313625682427714,*,—,0.7965363865744154,0.7656168452787973,Rate,0.030919541295618136
Rate,TTFS,0.028313625682427714,*,—,0.7965363865744154,0.7656168452787973,Rate,0.030919541295618136
Rate,Delta-Mod,0.03824683729785185,*,—,0.7965363865744154,0.8022188478701477,Delta-Mod,-0.005682461295732355
