encoder,thr,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target,step_size,kappa_phi,amp_kappa,alpha,tau_ms,lags
Rate,0.5,0.2956694197654724,0.3028266131877899,0.29924801647663113,1.0040828234986763,0.18059555049985648,False,,,,,,
Rate,0.55,0.19405941913370042,0.22205303609371185,0.20805622761370612,1.093167467913036,0.1905250327847898,False,,,,,,
Rate,0.6,0.12240783436689526,0.14960575103759766,0.13600679270224647,1.229743315604488,0.20050312499108258,False,,,,,,
Rate,0.65,0.07189275282202288,0.09181284159421921,0.08185279720812105,1.4157352157577185,0.2104800206492655,False,,,,,,
Rate,0.7,0.039120474677183666,0.0513109527528286,0.04521571371500613,1.6467756620801624,0.2205772444049944,False,,,,,,
Rate,0.75,0.019726653001853264,0.02613963559269905,0.022933144297276158,1.9755580176536933,0.23141823480837048,False,,,,,,
Rate,0.8,0.009274412588856648,0.012137550860643387,0.010705981724750017,2.437912660684829,0.2421764974033431,True,,,,,,
Rate,0.85,0.0040861782772117295,0.005141154397279024,0.004613666337245376,3.0891443610875564,0.2534018420666689,True,,,,,,
Rate,0.9,0.0016985280041990336,0.0019720697309821844,0.0018352988675906091,4.025996853340441,0.26245848929160276,False,,,,,,
Phase,0.5,0.2943978044390678,0.29429492354393005,0.29434636399149894,1.0004670503620887,0.18006874136626722,False,,,,,,
Phase,0.55,0.1933240198902786,0.2163875550031662,0.2048557874467224,1.0743278777993082,0.18873829500051215,False,,,,,,
Phase,0.6,0.12240406069206074,0.14709749817848206,0.1347507794352714,1.1874484686134739,0.19772131295874715,False,,,,,,
Phase,0.65,0.0725846584723331,0.09157278388738632,0.0820787211798597,1.3388207867787054,0.20680289161507973,False,,,,,,
Phase,0.7,0.040026263631880284,0.05214065685868263,0.046083460245281455,1.5428851881863368,0.21642691126908176,False,,,,,,
Phase,0.75,0.020533924196497536,0.02717645652592182,0.02385519036120968,1.8030931713635328,0.22676907443776145,False,,,,,,
Phase,0.8,0.009835867483634502,0.01298241876065731,0.011409143122145906,2.1799921838236798,0.23769246967247454,True,,,,,,
Phase,0.85,0.004435676224529743,0.005702342838048935,0.005069009531289339,2.7106722388482636,0.24888215755243437,True,,,,,,
Phase,0.9,0.0018915539667068515,0.002290068194270134,0.0020908110804884928,3.4444723409597975,0.2599968578584958,False,,,,,,
Adaptive,0.5,0.009155850417446345,0.006293090526014566,0.007724470471730456,1.6671731442377438,0.24071223745704629,True,,,,,,
Adaptive,0.55,0.008453903691843153,0.006156140938401222,0.0073050223151221874,1.7690006453774862,0.24469538692443166,True,,,,,,
Adaptive,0.6,0.007531410520896315,0.005953633692115545,0.00674252210650593,1.9628090723083285,0.24883450921690384,True,,,,,,
Adaptive,0.65,0.006761236346792429,0.005806891713291407,0.0062840640300419175,2.14887478813362,0.2517125789244892,True,,,,,,
Adaptive,0.7,0.006076154377078638,0.005650724284350872,0.005863439330714755,2.3296356578633413,0.2538726764913008,True,,,,,,
Adaptive,0.75,0.005378258187556639,0.005398367531597614,0.005388312859577127,2.533358389444619,0.2556831529070041,True,,,,,,
Adaptive,0.8,0.004511977451038547,0.004833790473639965,0.004672883962339256,2.7984331383988446,0.2580011692410335,True,,,,,,
Adaptive,0.85,0.003388036199612543,0.0037535452283918858,0.0035707907140022145,3.1918371045271283,0.26095373966265467,True,,,,,,
Adaptive,0.9,0.0021897609246661885,0.0024137706495821476,0.002301765787124168,3.6221296129973406,0.2650924013699114,False,,,,,,
Delta-Mod,0.55,0.07212292019976303,0.07926109433174133,0.07569200726575218,1.0647298448238829,0.1878649521083571,False,0.05,,,,,
Delta-Mod,0.55,0.06570476764813066,0.07409775257110596,0.06990126010961831,1.097446904495984,0.19089071729802526,False,0.08,,,,,
